Ticker,Assets YoY Difference,Assets YoY % Change,Debt YoY Difference,Debt YoY % Change,Shares YoY Difference,Shares YoY % Change,Assets Change,Debt Change,Shares Change,Revenue YoY Difference,Revenue YoY % Change,Gross Profit YoY Difference,Gross Profit YoY % Change,Net Income YoY Difference,Net Income YoY % Change,Operating Expenses YoY Difference,Operating Expenses YoY % Change,Total Expenses YoY Difference,Total Expenses YoY % Change,Cost of Revenue YoY Difference,Cost of Revenue YoY % Change,Revenue Change,Gross Profit Change,Net Income Change,Operating Expenses Change,Total Expenses Change,Cost of Revenue Change,Operating Cash Flow YoY Difference,Operating Cash Flow YoY % Change,Operating Cash Flow Change,Free Cash Flow YoY Difference,Free Cash Flow YoY % Change,Free Cash Flow Change
AWK,2511000000.0,9.03659984885019,789000000.0,7.2213069741900116,12872039.0,7.078068939280779,Increase,Increase,Increase,442000000.0,11.656118143459926,311000000.0,14.11711302768952,124000000.0,15.121951219512187,80000000.0,8.602150537634401,211000000.0,8.376339817387857,131000000.0,8.244178728760222,Increase,Increase,Increase,Increase,Increase,Increase,766000000.0,69.13357400722022,Increase,452000000.0,-34.45121951219512,Increase
AME,2592413000.0,20.85421908886729,-263496000.0,-12.204946158463825,879438.0,0.38228014979204694,Increase,Decrease,Increase,446420000.0,7.258236282076513,239196000.0,11.149930381691053,153646000.0,13.25057652072974,32429000.0,5.031051371674766,239653000.0,5.154007515960779,207224000.0,5.173795165908035,Increase,Increase,Increase,Increase,Increase,Increase,585923000.0,50.97761997193253,Increase,588679000.0,58.26382070691074,Increase
AMGN,32033000000.0,49.189969441501205,25816000000.0,69.1117417144081,1400000.0,0.26217228464420206,Increase,Increase,Increase,1867000000.0,7.092656612088288,-178000000.0,-0.8937088919013902,165000000.0,2.5183150183150094,1491000000.0,14.404405371461703,3536000000.0,21.101629169899148,2045000000.0,31.923197002809857,Increase,Decrease,Increase,Increase,Increase,Increase,-1250000000.0,-12.858759386894347,Decrease,-1426000000.0,-16.232214001138303,Decrease
APH,1200200000.0,7.831034437760165,-591500000.0,-12.928961748633883,8200000.0,0.6893073301950325,Increase,Decrease,Increase,-68300000.0,-0.5410758139903327,55900000.0,1.387716597984201,25700000.0,1.3509961625400857,69000000.0,4.856077134210701,-55200000.0,-0.5511347184919635,-124200000.0,-1.4450598036021778,Decrease,Increase,Increase,Increase,Decrease,Decrease,354100000.0,16.283454428400624,Increase,365100000.0,20.387536296627196,Increase
ADI,-1507872000.0,-2.9976174075366235,-646168000.0,-9.867231670770582,-13034263.0,-2.559270936738134,Decrease,Decrease,Decrease,291586000.0,2.427061267844155,344744000.0,4.576769863394148,566018000.0,20.593248612637673,-85869000.0,-2.1579110715169714,-139027000.0,-1.6432006452387626,-53158000.0,-1.1861709047392588,Increase,Increase,Increase,Decrease,Decrease,Decrease,342232000.0,7.646955513716991,Increase,-219923000.0,-5.824087006308631,Decrease
ANSS,634930000.0,9.493648646931163,317000.0,0.042066207167446024,-44058.0,-0.05067054807342819,Increase,Increase,Decrease,204396000.0,9.89546140912385,183739000.0,10.123851734960155,-23298000.0,-4.448645242596094,150262000.0,12.293843996419728,170919000.0,11.604289511472299,20657000.0,8.241668362319011,Increase,Increase,Decrease,Increase,Increase,Increase,86119000.0,13.647954130170547,Increase,85171000.0,14.039954964533742,Increase
AON,1255000000.0,3.8374510763209413,170000000.0,1.7302798982188339,-6812855.0,-3.316871957156764,Increase,Increase,Decrease,897000000.0,7.188075967625607,472000000.0,7.864045318227264,-25000000.0,-0.9656237929702605,140000000.0,5.573248407643305,565000000.0,6.285460006674826,425000000.0,6.5616797900262425,Increase,Increase,Decrease,Increase,Increase,Increase,216000000.0,6.710158434296365,Increase,160000000.0,5.292755540853467,Increase
APA,2097000000.0,15.950406936943784,-265000000.0,-4.861493303980923,-7983248.0,-2.5623538983283067,Increase,Decrease,Decrease,-2796000000.0,-25.24604966139955,-2028000000.0,-32.42206235011991,-749000000.0,-20.782463928967807,-174000000.0,-16.975609756097565,-942000000.0,-16.116338751069293,-768000000.0,-15.933609958506223,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,-1814000000.0,-36.69836131903702,Decrease,-1773000000.0,-69.66601178781926,Decrease
AAPL,-172000000.0,-0.04875905373418199,-3678000000.0,-3.716690750714946,-393364000.0,-2.4672490383967016,Decrease,Decrease,Decrease,-11043000000.0,-2.800460530319937,-1634000000.0,-0.9567753041889615,-2808000000.0,-2.813542679077785,3502000000.0,6.8205278021229,-5907000000.0,-2.1488517266843976,-9409000000.0,-4.208977123276636,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,-11608000000.0,-9.502992198180937,Decrease,-11859000000.0,-10.641314393905411,Decrease
AMAT,4003000000.0,14.977924118835585,4000000.0,0.07330034817665254,-11000000.0,-1.3033175355450233,Increase,Increase,Decrease,732000000.0,2.8388598022105915,391000000.0,3.2602351371633365,331000000.0,5.0727969348659085,521000000.0,12.378237110952718,862000000.0,4.788622854285873,341000000.0,2.4724477958236735,Increase,Increase,Increase,Increase,Increase,Increase,3301000000.0,61.14095202815337,Increase,2982000000.0,64.65741543798786,Increase
